obs,andip,pp,type,prat,rep,freq,arcf,ds,dm,di,gyn,fat,dem,con,etude,forma,prot,moyen,mac,tete,instr,cesar,deliv,stres,doul,fract,dechi,rupt,embo,ru,atoni,modif,aNAlg,delai,pos,ocyto,ph,epi,vent,vecu,kiwi
65,1996,1,2,1,0,3,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,2
66,2004,1,2,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1
67,2012,1,2,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
68,2005,1,2,1,0,2,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
69,2006,1,2,1,0,2,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,2
70,2005,1,2,1,0,3,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1
71,2010,1,2,1,0,2,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
72,2008,1,2,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
73,1997,1,2,1,0,0.5,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2
74,1991,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,2
75,1990,1,2,1,0,2,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1
76,2010,1,2,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
77,2004,2,1,1,0,0.5,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1
78,2010,2,1,1,0,2,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
79,2008,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
80,2002,2,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1
81,2006,2,1,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
82,2006,2,1,1,0,2,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1
83,1998,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,2
84,1997,2,1,1,0,3,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1
85,1993,2,1,1,0,3,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
86,1999,2,1,1,0,3,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2
87,2012,1,4,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2
88,2006,1,4,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0
89,2010,1,4,1,0,0.1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2
90,2012,1,4,1,0,0.1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
91,2004,1,4,1,0,0.5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,2
92,2003,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,2
93,1999,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0
